"";"";"";"pvals"
"327";20;24;3,70614370895184e-17
"328";20;25;3,03077330692979e-11
"329";20;26;0,928043432809498
"330";20;27;1
"331";21;22;7,46337054353048e-08
"332";21;23;0,00341970543869529
"333";21;24;0,000125669740546115
"334";21;25;0,143162041080771
"335";21;26;1
"336";21;27;1
"337";22;23;0,000760867975390653
"338";22;24;2,91012903107081e-07
"339";22;25;1,08182408780298e-07
"340";22;26;1
"341";22;27;1
"342";23;24;0,422401592640829
"343";23;25;1
"344";23;26;1
"345";23;27;1
"346";24;25;0,0585933339000436
"347";24;26;1
"348";24;27;1
"349";25;26;1
"350";25;27;1
"351";26;27;1
