"";"omega";"omega.se";"o.ll.95.ci";"o.ul.95.ci";"alpha";"alpha.se";"a.ll.95.ci";"a.ul.95.ci"
"sas.sv";0,83;0,03;0,76;0,89;0,83;0,03;0,77;0,88
"aaq.ii";0,93;0,01;0,9;0,95;0,93;0,01;0,9;0,95
